id,nombre_aplicacion,numero_grupo,motor_id
410,RENAULT R-19-EXPRES-CLIO DIESEL*4CIL* 80mm(F8Q),3,17
411,RENAULT R12 1300cc NAF.*4CIL* 73mm(810.02),1,17
412,RENAULT R12-R18 1600cc NAF.*4CIL* 77mm(C2L),1,17
413,RENAULT R19 1700cc NAF.*4CIL* 81mm(F2N),2,17
414,RENAULT R6 1100cc NAF.*4CIL* 68mm,1,17
415,RENAULT TWINGO 1149cc NAF.8 VAL*4CIL* 69mm(D7F),2,17
416,RENAULT TWINGO-CLIO1300cc NAF.*4CIL* 74mm(C3G),2,17
417,SCANIA K124-12L SERIE 4 *6CIL* 127mm(DSC12),9,45
418,SCANIA K124-12L SERIE 4 ARTICULADO *6CIL* 127mm(DSC12),9,45
419,SCANIA L110-111 ASP/NOR *6CIL* 127mm(D11-DS11),9,45
420,SCANIA L111-112 TURBO *6CIL* 127mm(D11-DS11),9,45
421,SCANIA L113 TURBO *6CIL* 127mm(DSC11),9,45
422,SCANIA P-93 SERIE 4-9L*6CIL* 115mm(DCS9),8,45
423,VALIANT I-II-III-IV NAF.*6CIL* 87mm,2,46
424,VOLVO NL10 280 DIESEL *6CIL* 120.65mm,9,22
425,VOLVO NL10 310 DIESEL *6CIL* 120.65mm,9,22
426,VOLVO NL10 340 DIESEL ARTICULADO *6CIL* 120.65mm,9,22
427,VW 2.0 CARAT-GOL GTI(AUDI)2000ccNAF.*4CIL* 82.5mm,2,21
428,VW 2.0 GOL(AUDI)2000ccNAF.INY*4CIL* 82.5mm,2,21
429,VW AMAROK TDI 2.0 *16Valv* 81mm,5,21
430,VW BORA 1.8T*20Valv*4CIL*81mm * ARX,4,21
431,VW GACEL(AUDI)1600ccNAF.MOD.VIE*4CIL* 79.5mm,2,21
432,VW GACEL-GOL(AUDI)1600ccNAF.*4CIL* 81mm,2,21
433,VW GACEL-GOL(AUDI)1600ccNAF.INY*4CIL* 81mm,2,21
434,VW GACEL-GOL(AUDI)1800ccNAF.INY*4CIL* 81mm,2,21
435,VW GACEL-SENDA(AUDI)1800ccNAF.*4CIL* 81mm,2,21
436,VW GOL 1000 NAF.MI 8VAL *4CIL* 67.10mm,2,21
437,VW GOLF 1.8 TD P.20 - 20 VALV. *4CIL*81mm,4,21
438,VW GOLF-TRANSPORTER TURBO DIESEL 1900cc*4CIL* 79.5mm,3,21
439,"VW GOLF/VENTO 1.9 SDI P.26 *4CIL*79,5 mm",4,21
440,VW KOMBI 1600ccNAF.*4CIL* 85.5mm,3,21
441,VW POLO DIESEL 1900cc *4CIL* 79.5mm,3,21
442,VW SAVEIRO-SENDA DIESEL 1600cc*4CIL* 76.5mm,3,21
443,"VW SURAN/FOX/GOLF 1.6 NAF. 8 VALV * 4CIL *76,5 mm",2,21
444,"VW TRANSPORTER 2.4 TDI *20 Valv* 5 CIL* 79,5mm",4,21
