codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
1367-EGX+5,40,764,2,2020-08-08,1
1374-EC,40,1388,2,2020-08-08,1
1374-ECB,40,1363,2,2020-08-08,1
1378-EC,40,2707,2,2020-08-08,1
1380-EC,40,354,2,2020-08-08,1
1381-EC 0.4,40,478,2,2020-08-08,1
1381-EC 0.8,40,478,2,2020-08-08,1
1381-EC STD,40,478,2,2020-08-08,1
1382-EC,40,971,2,2020-08-08,1
1383-EC,40,367,2,2020-08-08,1
1388-EP,40,1490,2,2020-08-08,1
1409-E,40,617,2,2020-08-08,1
1411-E,40,918,2,2020-08-08,1
1418-E,40,1124,2,2020-08-08,1
1418-E+15,40,1194,2,2020-08-08,1
1418-E+30,40,384,2,2020-08-08,1
1418-E+5,40,1170,2,2020-08-08,1
1420-EB,40,956,2,2020-08-08,1
1420-EBS,40,1035,2,2020-08-08,1
1421-EB,40,467,2,2020-08-08,1
1421-EGX,40,800,2,2020-08-08,1
1422-EB,40,373,2,2020-08-08,1
1422-EGX,40,1345,2,2020-08-08,1
1428-EP,40,580,2,2020-08-08,1
1431-EPN,40,759,2,2020-08-08,1
1437-EPN,40,1086,2,2020-08-08,1
1438-EN,40,928,2,2020-08-08,1
1440-EN,40,797,2,2020-08-08,1
1443-EC,40,754,2,2020-08-08,1
1448-EP,40,959,2,2020-08-08,1
1449-EP,40,925,2,2020-08-08,1
1452-E,40,302,2,2020-08-08,1
1453-E,40,325,2,2020-08-08,1
1455-ECP,40,307,2,2020-08-08,1
1457-EC,40,1180,2,2020-08-08,1
1458-E,40,610,2,2020-08-08,1
1460-EN,40,316,2,2020-08-08,1
1461-EGX,40,766,2,2020-08-08,1
1462-EB,40,820,2,2020-08-08,1
1467-EN,40,1029,2,2020-08-08,1
1468-ECP,40,719,2,2020-08-08,1
1476-ECP,40,1312,2,2020-08-08,1
1484-EP,40,789,2,2020-08-08,1
1488-EC,40,622,2,2020-08-08,1
1496-EB,40,605,2,2020-08-08,1
1498-ECP STD,40,1183,2,2020-08-08,1
1499-ECP 0.4,40,770,2,2020-08-08,1
1499-ECP 0.8,40,589,2,2020-08-08,1
1499-ECP STD,40,402,2,2020-08-08,1
1549-ECP 0.4,40,993,2,2020-08-08,1
1549-ECP 0.8,40,993,2,2020-08-08,1
1549-ECP STD,40,993,2,2020-08-08,1
1550-EC 0.4,40,553,2,2020-08-08,1
1550-EC 0.8,40,553,2,2020-08-08,1
1550-EC STD,40,553,2,2020-08-08,1
1550-EC STD(2R),40,607,2,2020-08-08,1
1550-EC+15 0.8,40,607,2,2020-08-08,1
1550-EC+15 O 2R,40,607,2,2020-08-08,1
1550-EC+15 STD,40,607,2,2020-08-08,1
1550-EC+5 0.4,40,579,2,2020-08-08,1
1550-EC+5 0.8,40,579,2,2020-08-08,1
1550-EC+5 STD,40,579,2,2020-08-08,1
1556-ECB 0.4,40,590,2,2020-08-08,1
1556-ECB 0.8,40,590,2,2020-08-08,1
1556-ECB STD,40,590,2,2020-08-08,1
1557-ECB 0.4,40,699,2,2020-08-08,1
1557-ECB 0.8,40,699,2,2020-08-08,1
1557-ECB 30 STD,40,702,2,2020-08-08,1
1557-ECB STD,40,699,2,2020-08-08,1
1561-ECB,40,1828,2,2020-08-08,1
1565-ECB,40,592,2,2020-08-08,1
1567-ECB,40,1737,2,2020-08-08,1
1568-ECB,40,2465,2,2020-08-08,1
1569-EPS,40,2221,2,2020-08-08,1
1571-EBS,40,4094,2,2020-08-08,1
1573-EBS,40,3114,2,2020-08-08,1
1582-ECB 0.4,40,868,2,2020-08-08,1
1582-ECB 0.8,40,868,2,2020-08-08,1
1582-ECB STD,40,868,2,2020-08-08,1
158-E,40,516,2,2020-08-08,1
1594-E,40,914,2,2020-08-08,1
1595-EB,40,511,2,2020-08-08,1
1595-EBS,40,566,2,2020-08-08,1
1596-EP 0.4,40,325,2,2020-08-08,1
1596-EP 0.8,40,325,2,2020-08-08,1
1596-EP STD,40,325,2,2020-08-08,1
1598-EB,40,1240,2,2020-08-08,1
1645-ECS,40,737,2,2020-08-08,1
1646-ECS,40,666,2,2020-08-08,1
1647-EB,40,647,2,2020-08-08,1
1651-ES,40,476,2,2020-08-08,1
1804-EPN,40,1171,2,2020-08-08,1
1805-EP,40,896,2,2020-08-08,1
1806-EP,40,1212,2,2020-08-08,1
1807-EP,40,607,2,2020-08-08,1
1809-E,40,563,2,2020-08-08,1
1811-EC,40,1497,2,2020-08-08,1
1814-ECP,40,1023,2,2020-08-08,1
1815-E,40,503,2,2020-08-08,1
1815-EGX,40,811,2,2020-08-08,1
1824-ECB,40,2964,2,2020-08-08,1
1825-E,40,416,2,2020-08-08,1
1826-ECB,40,558,2,2020-08-08,1
1828-EC,40,334,2,2020-08-08,1
1829-EN,40,513,2,2020-08-08,1
1831-ECP,40,1315,2,2020-08-08,1
1832-EN,40,549,2,2020-08-08,1
1835-EPN,40,1024,2,2020-08-08,1
1837-EP,40,1001,2,2020-08-08,1
1838-ECB,40,891,2,2020-08-08,1
1839-ECB 0.4,40,1157,2,2020-08-08,1
1839-ECB STD,40,1119,2,2020-08-08,1
1840-EPN,40,1250,2,2020-08-08,1
1841-E,40,582,2,2020-08-08,1
1842-ECB,40,2955,2,2020-08-08,1
1843-ECP 0.4,40,1368,2,2020-08-08,1
1843-ECP STD,40,1225,2,2020-08-08,1
1844-EP,40,621,2,2020-08-08,1
1845-EN,40,506,2,2020-08-08,1
1847-EN,40,596,2,2020-08-08,1
1848-EPN,40,1154,2,2020-08-08,1
1861-ECB 0.4,40,2144,2,2020-08-08,1
1861-ECB 0.8,40,1836,2,2020-08-08,1
1861-ECB STD,40,1045,2,2020-08-08,1
1863-ECBS,40,1724,2,2020-08-08,1
1865-ECP,40,1684,2,2020-08-08,1
21226-ECB 0.4,40,663,2,2020-08-08,1
21226-ECB 0.8,40,720,2,2020-08-08,1
21226-ECB STD,40,651,2,2020-08-08,1
23002-E,40,406,2,2020-08-08,1
23006-ECP,40,514,2,2020-08-08,1
23007-E,40,322,2,2020-08-08,1
23009-ECP,40,485,2,2020-08-08,1
23010-E,40,894,2,2020-08-08,1
23010-E+15,40,1055,2,2020-08-08,1
23012-ECP,40,708,2,2020-08-08,1
23016-EC,40,411,2,2020-08-08,1
23016-EC+15,40,854,2,2020-08-08,1
23019-ECP,40,1633,2,2020-08-08,1
23020-ECP,40,440,2,2020-08-08,1
23020-ECP+15,40,493,2,2020-08-08,1
23028-ECP,40,561,2,2020-08-08,1
23029-ECB,40,1266,2,2020-08-08,1
23106-EP,40,497,2,2020-08-08,1
23107-EN,40,647,2,2020-08-08,1
23108-ECPS,40,1421,2,2020-08-08,1
23109-EC,40,573,2,2020-08-08,1
23141-EC,40,549,2,2020-08-08,1
23181-ESSN,40,1433,2,2020-08-08,1
23209-EP,40,1891,2,2020-08-08,1
23210-EB,40,1046,2,2020-08-08,1
23210-EBS,40,1035,2,2020-08-08,1
23213-E,40,1329,2,2020-08-08,1
23218-EB,40,565,2,2020-08-08,1
23226-EPN,40,997,2,2020-08-08,1
23227-ECP,40,2051,2,2020-08-08,1
23229-EBS,40,1989,2,2020-08-08,1
23231-EBN,40,494,2,2020-08-08,1
23234-EC,40,546,2,2020-08-08,1
23236-EP,40,1296,2,2020-08-08,1
23238-E,40,677,2,2020-08-08,1
23240-ECP,40,586,2,2020-08-08,1
23241-ECP 0.4,40,456,2,2020-08-08,1
23241-ECP STD,40,415,2,2020-08-08,1
23242-E,40,357,2,2020-08-08,1
23251-ECP,40,588,2,2020-08-08,1
23260-ECB 0.4,40,562,2,2020-08-08,1
23260-ECB 0.8,40,562,2,2020-08-08,1
23260-ECB STD,40,562,2,2020-08-08,1
23265-ECBS,40,2056,2,2020-08-08,1
23271-ECB 0.4,40,2472,2,2020-08-08,1
23271-ECB STD,40,1310,2,2020-08-08,1
23275-EBN,40,633,2,2020-08-08,1
23282-EPN,40,646,2,2020-08-08,1
23291-EBN,40,1079,2,2020-08-08,1
23293-EP,40,576,2,2020-08-08,1
23301-ECB,40,514,2,2020-08-08,1
23345-ECB,40,581,2,2020-08-08,1
23395-ECS,40,1432,2,2020-08-08,1
23407-EBN,40,757,2,2020-08-08,1
23409-ECB,40,362,2,2020-08-08,1
23411-EBN,40,1096,2,2020-08-08,1
23417-ECB,40,450,2,2020-08-08,1
23419-ECB,40,1444,2,2020-08-08,1
23421-EB,40,659,2,2020-08-08,1
23423-ECB,40,867,2,2020-08-08,1
248-E C/P,40,325,2,2020-08-08,1
248-E STD,40,325,2,2020-08-08,1
3037-EP,40,453,2,2020-08-08,1
3041-ECB,40,490,2,2020-08-08,1
3041-ECB+10,40,543,2,2020-08-08,1
3041-ECB+15,40,543,2,2020-08-08,1
3041-ECB+5,40,513,2,2020-08-08,1
3043-ECP,40,487,2,2020-08-08,1
3043-ECP+15,40,1047,2,2020-08-08,1
3045-ECP,40,1788,2,2020-08-08,1
3047-ECB,40,414,2,2020-08-08,1
3049-ECB,40,2283,2,2020-08-08,1
3053-ECB,40,567,2,2020-08-08,1
3053-ECB+5,40,596,2,2020-08-08,1
3057-E,40,655,2,2020-08-08,1
3057-EC,40,331,2,2020-08-08,1
3059-E,40,478,2,2020-08-08,1
3061-ECP,40,422,2,2020-08-08,1
3063-EC,40,401,2,2020-08-08,1
3065-EN,40,377,2,2020-08-08,1
3067-EC,40,379,2,2020-08-08,1
3069-ECB,40,438,2,2020-08-08,1
3071-ECP,40,575,2,2020-08-08,1
3073-ECB,40,593,2,2020-08-08,1
3083-ECB,40,1082,2,2020-08-08,1
3085-EC,40,638,2,2020-08-08,1
3087-EC,40,1098,2,2020-08-08,1
3091-ECB,40,450,2,2020-08-08,1
3093-EC,40,498,2,2020-08-08,1
3095-EC,40,369,2,2020-08-08,1
3135-EC,40,603,2,2020-08-08,1
3137-ECB,40,451,2,2020-08-08,1
3139-EC,40,368,2,2020-08-08,1
3147-ECB,40,418,2,2020-08-08,1
3149-EC,40,1165,2,2020-08-08,1
3151-EB,40,461,2,2020-08-08,1
3155-EPN,40,970,2,2020-08-08,1
3159-ECB,40,398,2,2020-08-08,1
3161-EN,40,549,2,2020-08-08,1
3163-ECP,40,523,2,2020-08-08,1
3169-EB,40,427,2,2020-08-08,1
3185-ECB,40,579,2,2020-08-08,1
3187-ECBS,40,1633,2,2020-08-08,1
3191-EB,40,658,2,2020-08-08,1
3193-EBS,40,611,2,2020-08-08,1
3197-EB,40,536,2,2020-08-08,1
3199-EX,40,1505,2,2020-08-08,1
3279-EPN,40,723,2,2020-08-08,1
3297-EBN,40,805,2,2020-08-08,1
3299-EN,40,379,2,2020-08-08,1
3303-EC,40,386,2,2020-08-08,1
3317-EC,40,375,2,2020-08-08,1
